Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1565901333,2019-08-15T20:35:33Z,UAE38,"52.452618,-1.738076",0,0,222
1565901377,2019-08-15T20:36:17Z,UAE38,"52.452839,-1.738243",0,10,135
1565901389,2019-08-15T20:36:29Z,UAE38,"52.452919,-1.738472",0,11,143
1565901402,2019-08-15T20:36:42Z,UAE38,"52.453022,-1.738758",0,11,168
1565901417,2019-08-15T20:36:57Z,UAE38,"52.453224,-1.738959",0,11,194
1565901432,2019-08-15T20:37:12Z,UAE38,"52.453434,-1.739025",0,11,225
1565901459,2019-08-15T20:37:39Z,UAE38,"52.45356,-1.738822",0,0,89
1565901721,2019-08-15T20:42:01Z,UAE38,"52.453411,-1.739101",0,15,233
1565901728,2019-08-15T20:42:08Z,UAE38,"52.453316,-1.739332",0,19,236
1565901737,2019-08-15T20:42:17Z,UAE38,"52.453117,-1.739822",0,23,236
1565901746,2019-08-15T20:42:26Z,UAE38,"52.453125,-1.740398",0,21,267
1565901756,2019-08-15T20:42:36Z,UAE38,"52.453274,-1.740971",0,20,284
1565901762,2019-08-15T20:42:42Z,UAE38,"52.453136,-1.741333",0,20,255
1565901772,2019-08-15T20:42:52Z,UAE38,"52.452827,-1.74151",0,19,210
1565901781,2019-08-15T20:43:01Z,UAE38,"52.452583,-1.741353",0,16,177
1565901790,2019-08-15T20:43:10Z,UAE38,"52.452385,-1.741137",0,17,160
1565901803,2019-08-15T20:43:23Z,UAE38,"52.452084,-1.740764",0,20,146
1565901812,2019-08-15T20:43:32Z,UAE38,"52.451809,-1.740456",0,21,146
1565901820,2019-08-15T20:43:40Z,UAE38,"52.451557,-1.74017",0,22,146
1565901826,2019-08-15T20:43:46Z,UAE38,"52.451351,-1.739922",0,22,146
1565901835,2019-08-15T20:43:55Z,UAE38,"52.451031,-1.739578",0,23,146
1565901847,2019-08-15T20:44:07Z,UAE38,"52.450573,-1.739082",0,25,146
1565901853,2019-08-15T20:44:13Z,UAE38,"52.450336,-1.738822",0,26,146
1565901859,2019-08-15T20:44:19Z,UAE38,"52.450081,-1.738547",0,26,146
1565901870,2019-08-15T20:44:30Z,UAE38,"52.449623,-1.738033",0,25,146
1565901877,2019-08-15T20:44:37Z,UAE38,"52.449383,-1.737782",0,25,146
1565901883,2019-08-15T20:44:43Z,UAE38,"52.449142,-1.737499",0,25,146
1565901895,2019-08-15T20:44:55Z,UAE38,"52.448673,-1.736984",0,21,146
1565901904,2019-08-15T20:45:04Z,UAE38,"52.448364,-1.736851",0,19,163
1565901912,2019-08-15T20:45:12Z,UAE38,"52.448078,-1.736958",0,18,182
1565901922,2019-08-15T20:45:22Z,UAE38,"52.447815,-1.737137",0,18,196
1565901929,2019-08-15T20:45:29Z,UAE38,"52.447601,-1.737252",0,19,196
1565901938,2019-08-15T20:45:38Z,UAE38,"52.447323,-1.73737",0,20,194
1565901946,2019-08-15T20:45:46Z,UAE38,"52.447006,-1.737213",0,20,168
1565901955,2019-08-15T20:45:55Z,UAE38,"52.446789,-1.736919",0,19,151
1565901961,2019-08-15T20:46:01Z,UAE38,"52.446602,-1.736664",0,19,146
1565901971,2019-08-15T20:46:11Z,UAE38,"52.446346,-1.73635",0,19,146
1565901985,2019-08-15T20:46:25Z,UAE38,"52.445915,-1.735878",0,19,146
1565901997,2019-08-15T20:46:37Z,UAE38,"52.44556,-1.735516",0,19,146
1565902006,2019-08-15T20:46:46Z,UAE38,"52.445286,-1.73521",0,19,146
1565902014,2019-08-15T20:46:54Z,UAE38,"52.445053,-1.734977",0,19,146
1565902027,2019-08-15T20:47:07Z,UAE38,"52.444771,-1.734657",0,2,146
1565902063,2019-08-15T20:47:43Z,UAE38,"52.444565,-1.734447",0,18,146
1565902069,2019-08-15T20:47:49Z,UAE38,"52.444378,-1.734231",0,23,146
